,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
934,"frozenset({"" 'u-Ziq'"", "" 'Rihanna'""})","frozenset({"" 'Kelly Clarkson'""})",0.11182450508293205,0.13911182450508294,0.11182450508293205,1.0,7.188461538461538,0.09626839415646746,inf
1312,"frozenset({"" 'Christina Aguilera'"", "" 'u-Ziq'""})","frozenset({"" 'Kelly Clarkson'""})",0.10379882289994649,0.13911182450508294,0.10379882289994649,1.0,7.188461538461538,0.08935917926485495,inf
1318,"frozenset({"" 'Katy Perry'"", "" 'u-Ziq'""})","frozenset({"" 'Kelly Clarkson'""})",0.10379882289994649,0.13911182450508294,0.10379882289994649,1.0,7.188461538461538,0.08935917926485495,inf
2720,"frozenset({"" 'Britney Spears'"", "" 'u-Ziq'"", "" 'Rihanna'""})","frozenset({"" 'Kelly Clarkson'""})",0.10219368646334938,0.13911182450508294,0.10219368646334938,1.0,7.188461538461538,0.08797733628653245,inf
191,"frozenset({"" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'""})",0.13911182450508294,0.14553237025147137,0.13911182450508294,1.0,6.871323529411765,0.1188665509548515,inf
661,"frozenset({"" 'Lady Gaga'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'""})",0.10968432316746923,0.14553237025147137,0.10968432316746923,1.0,6.871323529411765,0.09372170363747906,inf
936,"frozenset({"" 'Rihanna'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'""})",0.11182450508293205,0.14553237025147137,0.11182450508293205,1.0,6.871323529411765,0.09555041980601525,inf
1121,"frozenset({"" 'Britney Spears'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'""})",0.11771000535045478,0.14553237025147137,0.11771000535045478,1.0,6.871323529411765,0.10057938926948973,inf
1313,"frozenset({"" 'Christina Aguilera'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'""})",0.10379882289994649,0.14553237025147137,0.10379882289994649,1.0,6.871323529411765,0.08869273417400457,inf
1319,"frozenset({"" 'Katy Perry'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'""})",0.10379882289994649,0.14553237025147137,0.10379882289994649,1.0,6.871323529411765,0.08869273417400457,inf
2245,"frozenset({"" 'Lady Gaga'"", "" 'Britney Spears'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'""})",0.10272873194221509,0.14553237025147137,0.10272873194221509,1.0,6.871323529411765,0.08777837608973649,inf
